VCC	3.3	Max ADC	4096	Pull Down	10000	Thermistor	10000				
ADC Value (0-4096)	Ratio	Voltage	Thermistor Resistance	Temperature (K)	Temperature (C)						
0	0	0	0	#NUM!	#NUM!						
1412	0.3447265625	1.137597656	5260.804769	313.48	40.33						
1416	0.345703125	1.140820313	5283.58209	313.37	40.22						
1420	0.3466796875	1.144042969	5306.427504	313.27	40.12						
1424	0.34765625	1.147265625	5329.341317	313.16	40.01						
1428	0.3486328125	1.150488281	5352.323838	313.05	39.90						
1432	0.349609375	1.153710938	5375.375375	312.94	39.79						
1436	0.3505859375	1.156933594	5398.496241	312.84	39.69						
1440	0.3515625	1.16015625	5421.686747	312.73	39.58						
1444	0.3525390625	1.163378906	5444.94721	312.62	39.47						
1448	0.353515625	1.166601563	5468.277946	312.52	39.37						
1452	0.3544921875	1.169824219	5491.679274	312.41	39.26						
1456	0.35546875	1.173046875	5515.151515	312.31	39.16						
1460	0.3564453125	1.176269531	5538.694992	312.20	39.05						
1464	0.357421875	1.179492188	5562.31003	312.10	38.95						
1468	0.3583984375	1.182714844	5585.996956	311.99	38.84						
1472	0.359375	1.1859375	5609.756098	311.89	38.74						
1476	0.3603515625	1.189160156	5633.587786	311.78	38.63						
1480	0.361328125	1.192382813	5657.492355	311.68	38.53						
1484	0.3623046875	1.195605469	5681.470138	311.57	38.42						
1488	0.36328125	1.198828125	5705.521472	311.47	38.32						
1492	0.3642578125	1.202050781	5729.646697	311.36	38.21						
1496	0.365234375	1.205273438	5753.846154	311.26	38.11						
1500	0.3662109375	1.208496094	5778.120185	311.16	38.01						
1504	0.3671875	1.21171875	5802.469136	311.05	37.90						
1508	0.3681640625	1.214941406	5826.893354	310.95	37.80						
1512	0.369140625	1.218164063	5851.393189	310.85	37.70						
1516	0.3701171875	1.221386719	5875.968992	310.74	37.59						
1520	0.37109375	1.224609375	5900.621118	310.64	37.49						
1524	0.3720703125	1.227832031	5925.349922	310.54	37.39						
1528	0.373046875	1.231054688	5950.155763	310.44	37.29						
1532	0.3740234375	1.234277344	5975.039002	310.33	37.18						
1536	0.375	1.2375	6000	310.23	37.08						
1540	0.3759765625	1.240722656	6025.039124	310.13	36.98						
1544	0.376953125	1.243945313	6050.15674	310.03	36.88						
1548	0.3779296875	1.247167969	6075.353218	309.93	36.78						
1552	0.37890625	1.250390625	6100.628931	309.83	36.68						
1556	0.3798828125	1.253613281	6125.984252	309.72	36.57						
1560	0.380859375	1.256835938	6151.419558	309.62	36.47						
1564	0.3818359375	1.260058594	6176.935229	309.52	36.37						
1568	0.3828125	1.26328125	6202.531646	309.42	36.27						
1572	0.3837890625	1.266503906	6228.209192	309.32	36.17						
1576	0.384765625	1.269726563	6253.968254	309.22	36.07						
1580	0.3857421875	1.272949219	6279.809221	309.12	35.97						
1584	0.38671875	1.276171875	6305.732484	309.02	35.87						
1588	0.3876953125	1.279394531	6331.738437	308.92	35.77						
1592	0.388671875	1.282617188	6357.827476	308.82	35.67						
1596	0.3896484375	1.285839844	6384	308.72	35.57						
1600	0.390625	1.2890625	6410.25641	308.62	35.47						
1604	0.3916015625	1.292285156	6436.597111	308.52	35.37						
1608	0.392578125	1.295507813	6463.022508	308.42	35.27						
1612	0.3935546875	1.298730469	6489.533011	308.32	35.17						
1616	0.39453125	1.301953125	6516.129032	308.22	35.07						
1620	0.3955078125	1.305175781	6542.810985	308.12	34.97						
1624	0.396484375	1.308398438	6569.579288	308.03	34.88						
1628	0.3974609375	1.311621094	6596.43436	307.93	34.78						
1632	0.3984375	1.31484375	6623.376623	307.83	34.68						
1636	0.3994140625	1.318066406	6650.406504	307.73	34.58						
1640	0.400390625	1.321289063	6677.52443	307.63	34.48						
1644	0.4013671875	1.324511719	6704.730832	307.53	34.38						
1648	0.40234375	1.327734375	6732.026144	307.44	34.29						
1652	0.4033203125	1.330957031	6759.410802	307.34	34.19						
1656	0.404296875	1.334179688	6786.885246	307.24	34.09						
1660	0.4052734375	1.337402344	6814.449918	307.14	33.99						
1664	0.40625	1.340625	6842.105263	307.05	33.90						
1668	0.4072265625	1.343847656	6869.85173	306.95	33.80						
1672	0.408203125	1.347070313	6897.689769	306.85	33.70						
1676	0.4091796875	1.350292969	6925.619835	306.75	33.60						
1680	0.41015625	1.353515625	6953.642384	306.66	33.51						
1684	0.4111328125	1.356738281	6981.757877	306.56	33.41						
1688	0.412109375	1.359960938	7009.966777	306.46	33.31						
1692	0.4130859375	1.363183594	7038.269551	306.37	33.22						
1696	0.4140625	1.36640625	7066.666667	306.27	33.12						
1700	0.4150390625	1.369628906	7095.158598	306.17	33.02						
1704	0.416015625	1.372851563	7123.745819	306.08	32.93						
1708	0.4169921875	1.376074219	7152.428811	305.98	32.83						
1712	0.41796875	1.379296875	7181.208054	305.89	32.74						
1716	0.4189453125	1.382519531	7210.084034	305.79	32.64						
1720	0.419921875	1.385742188	7239.057239	305.69	32.54						
1724	0.4208984375	1.388964844	7268.128162	305.60	32.45						
1728	0.421875	1.3921875	7297.297297	305.50	32.35						
1732	0.4228515625	1.395410156	7326.565144	305.41	32.26						
1736	0.423828125	1.398632813	7355.932203	305.31	32.16						
1740	0.4248046875	1.401855469	7385.398981	305.22	32.07						
1744	0.42578125	1.405078125	7414.965986	305.12	31.97						
1748	0.4267578125	1.408300781	7444.633731	305.03	31.88						
1752	0.427734375	1.411523438	7474.40273	304.93	31.78						
1756	0.4287109375	1.414746094	7504.273504	304.84	31.69						
1760	0.4296875	1.41796875	7534.246575	304.74	31.59						
1764	0.4306640625	1.421191406	7564.32247	304.65	31.50						
1768	0.431640625	1.424414063	7594.501718	304.55	31.40						
1772	0.4326171875	1.427636719	7624.784854	304.46	31.31						
1776	0.43359375	1.430859375	7655.172414	304.37	31.22						
1780	0.4345703125	1.434082031	7685.66494	304.27	31.12						
1784	0.435546875	1.437304688	7716.262976	304.18	31.03						
